name,id,prompt,description
grasp,0,(Can a typical {} be grasped with one hand?),The object can be grasped in any way
cut,1,(Can a typical {} be used to cut through objects and does it have a blade?),The object can be used to cut other objects
scoop,2,(Can a typical {} be used to scoop material?),The object can be used to scoop or shove material like powder or objects
contain,3,(Is a typical {} designed to put either objects or liquids inside of it?),The object is designed to put either objects or liquids inside of it
pound,4,(Is a {} useful to pound some objects with. Do not answer yes if objects be pound on top of a {}),The object can be swung to pound other objects
support,5,(Does a typical {} provide good support for objects standing on it?),The object provides good support for other objects standing on it
wrap-grasp,6,(Can a typical {} be grasped with one hand and is it possible to wrap ones hand around it or parts of it),Its possible to wrap ones fingers around the object or parts of it
